,0
0,6.826283336773515
1,11.899682932827572
2,15.042542879021926
3,21.174105335913822
4,15.639777425649813
5,16.05848666678014
6,10.05810556672213
7,18.051630103624493
8,8.734603319859396
9,10.918799475614529
10,10.930541239173552
11,17.51535946183512
12,22.333604694222696
13,22.138107118131522
14,15.030178304229668
15,30.30672593252268
16,19.329743094729267
17,29.28984124780395
18,11.47580907492509
19,5.819695083369928
20,8.88656570498398
21,27.619896527550654
22,31.135665232182753
23,23.554539254705727
24,23.862914473456797
25,25.60636523976243
26,23.814155206629668
27,25.040513507236273
28,19.342589019867045
29,16.072558970755992
30,13.256487283414597
31,9.397772684583744
32,13.351671660761452
33,15.166883674167915
34,12.056241768165105
35,23.47159461608282
36,14.59623563019014
37,17.455651436385615
38,23.023798593617776
39,13.751537343056489
40,13.399257785699952
41,14.320979206498908
42,14.445057203740895
43,13.161903624959924
44,9.223923424844546
45,11.248363665309995
46,7.7828078946700465
47,8.425390598972141
48,-2.7738388316102065
49,-2.182791530263338
50,2.5643927896182923
51,8.709970970666168
52,1.4463353485795238
53,-0.7649987149338155
54,6.773681401326018
55,8.324803527668344
56,-1.7580609358189427
57,6.136260362553468
58,7.74175245208555
59,5.733670489517486
60,12.207515553257352
61,-1.8964434670811166
62,-1.864217516862123
63,6.704377461447297
64,6.4989929563685
65,-3.9626098428669607
66,5.346535019712968
67,-13.86273020499289
68,-2.9114987737092317
69,-12.43563313002483
70,-1.4084008825111276
71,-0.12806617818710464
72,-3.561242627594849
73,5.293796178135111
74,6.6172625062291335
75,-0.8333662950620404
76,-7.127620730750168
77,-6.158210902128415
78,3.2211204457956395
79,-0.6376610645463359
80,-0.038777185275495896
81,-6.014634010900664
82,-9.741736245078277
83,-9.550493603042032
84,-12.814536889019404
85,-14.430408356588563
86,-7.203599531607528
87,0.5246716284413999
88,-10.122946855491712
89,-8.635668669200808
90,2.238346591158706
91,-1.9401832669155539
92,-4.014583157370767
93,-4.59933734864163
94,-1.3477196174689894
95,1.359692310864201
96,-2.4035328961058333
97,4.670818460850846
98,-7.39167895283474
99,-4.248958991686955
100,4.652089967855321
101,-6.041464137325047
102,0.6650706825010744
103,-8.398811541585617
104,-5.337064184209007
105,-8.848570006752173
106,5.3737417785663375
107,-1.249458809321922
108,4.597072335320778
109,2.7944434645363287
110,5.617705209191902
111,-3.7408093690991464
112,7.463709112160341
113,-1.9826147497070448
114,5.083366805794158
115,9.862426714733614
116,5.005470432395338
117,6.354736525909221
118,10.46313829320473
119,7.722107264512125
120,-0.7050887091814761
121,8.589909688928984
122,14.555613693407526
123,20.032804618678078
124,16.28555127265811
125,10.011117741437365
126,20.870661090129314
127,13.20162583882652
128,12.68240010511595
129,9.015214481878681
130,8.13958532285118
131,5.990043194083959
132,7.0896678610342665
133,16.17821623985723
134,15.084438819712103
135,18.80560385672753
136,11.7471924972118
137,23.712417719498507
138,26.81823538660206
139,13.1113110704684
140,18.167389414274215
141,19.799360415320212
142,11.433499308740657
143,24.006085511062302
144,19.688030752586542
145,15.795350728184317
146,12.035339562959862
147,28.97044199379116
148,22.321046610088096
149,16.61974605577745
150,18.21528577083631
151,18.494582173602712
152,14.23897343406946
153,24.711639747646434
154,25.486463250063505
155,20.685139782915577
156,15.281443013106148
157,12.55284941608061
158,15.236254544938458
159,21.89634207935562
160,18.167592586543815
161,18.219766705962723
162,15.517104693772067
163,9.823251692454399
164,15.670180557187642
165,22.95166390658344
166,22.207732708627432
167,24.821061479045504
168,9.432814228716854
169,8.797045834476737
170,9.843133995410604
171,23.804566854776713
172,10.089549383330532
173,20.71167256008818
174,10.045487956646731
175,9.744832778030707
176,13.851684772708742
177,15.763843264889028
178,3.6853030490243297
179,6.706271470669579
180,8.352122439298839
181,14.376245166820267
182,8.248940994691027
183,6.718371803789735
184,10.324774566969312
185,9.164830679683819
186,11.276966680223204
187,3.0970699212638584
188,5.07385864577139
189,10.284484726183413
190,1.323478756276801
191,-0.5836946462567614
192,-0.9443485632539108
